alivetime,country,ipaddress,isniming,port,severaddr,testtime,type
226天,chiana,182.111.64.7,高匿,41766,江西九江,29分钟前,HTTPS
163天,chiana,58.210.94.242,高匿,43627,江苏苏州,2小时前,HTTPS
1分钟,chiana,183.148.147.77,高匿,9999,浙江台州,2小时前,HTTP
1分钟,chiana,183.148.146.61,高匿,9999,浙江台州,2小时前,HTTP
1分钟,chiana,111.177.177.209,高匿,9999,湖北随州,3小时前,HTTP
1分钟,chiana,116.209.52.125,高匿,9999,湖北仙桃,3小时前,HTTPS
1分钟,chiana,49.86.181.211,高匿,9999,江苏,3小时前,HTTP
1分钟,chiana,58.21.125.55,高匿,8118,吉林,3小时前,HTTP
1分钟,chiana,111.177.183.102,高匿,9999,湖北随州,4小时前,HTTP
1分钟,chiana,111.177.181.41,高匿,9999,湖北随州,4小时前,HTTPS
11天,chiana,114.88.53.19,透明,53281,上海,29分钟前,HTTP
1分钟,chiana,14.20.235.157,透明,9797,广东深圳,4小时前,HTTP
137天,chiana,124.160.56.76,透明,37511,浙江杭州,6小时前,HTTPS
1242天,chiana,124.207.82.166,透明,8008,北京,10小时前,HTTP
18天,chiana,60.190.153.150,透明,8080,浙江嘉兴,12小时前,HTTP
1分钟,chiana,223.166.247.206,透明,9000,上海,12小时前,HTTP
1分钟,chiana,119.123.175.181,透明,9797,广东深圳,13小时前,HTTP
1分钟,chiana,114.101.45.40,透明,65309,安徽蚌埠,19小时前,HTTPS
1分钟,chiana,113.116.58.253,透明,9000,广东深圳,20小时前,HTTP
1140天,chiana,27.46.23.45,透明,9999,广东深圳,23小时前,HTTP
226天,chiana,182.111.64.7,高匿,41766,江西九江,24分钟前,HTTPS
693天,chiana,123.139.56.238,透明,9999,陕西西安,2小时前,HTTPS
1分钟,chiana,116.209.52.125,高匿,9999,湖北仙桃,3小时前,HTTPS
1分钟,chiana,111.177.181.41,高匿,9999,湖北随州,4小时前,HTTPS
81天,chiana,110.52.235.165,高匿,9999,湖南岳阳,5小时前,HTTPS
1分钟,chiana,119.116.48.65,高匿,8118,辽宁鞍山,6小时前,HTTPS
172天,chiana,61.128.208.94,透明,3128,重庆,6小时前,HTTPS
178天,chiana,59.34.217.54,高匿,32294,广东湛江,6小时前,HTTPS
1分钟,chiana,175.165.128.39,高匿,1133,辽宁葫芦岛,7小时前,HTTPS
14天,chiana,116.209.59.185,高匿,9999,湖北仙桃,8小时前,HTTPS
1分钟,chiana,116.209.53.245,高匿,9999,湖北仙桃,25分钟前,HTTP
1分钟,chiana,183.148.147.77,高匿,9999,浙江台州,2小时前,HTTP
1分钟,chiana,183.148.146.61,高匿,9999,浙江台州,2小时前,HTTP
1分钟,chiana,111.177.177.209,高匿,9999,湖北随州,2小时前,HTTP
1分钟,chiana,49.86.181.211,高匿,9999,江苏,3小时前,HTTP
1分钟,chiana,58.21.125.55,高匿,8118,吉林,3小时前,HTTP
1分钟,chiana,111.177.183.102,高匿,9999,湖北随州,3小时前,HTTP
1分钟,chiana,36.26.206.59,高匿,9999,浙江,4小时前,HTTP
1分钟,chiana,121.63.199.43,高匿,9999,湖北襄阳,4小时前,HTTP
132天,chiana,221.210.120.153,高匿,54402,黑龙江绥化地区,6小时前,HTTP
2263天,chiana,121.63.198.84,高匿,6668,湖北襄阳,6 天,socks4/5
2146天,chiana,121.31.193.132,高匿,6675,广西桂林,4 月前,socks4/5
