base_info,house_daxiao,house_direction,house_id,house_scale,price,time,title
"基本信息,发布：7天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/17层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：无, ,采暖：暂无数据",128㎡,朝东 南 北,FZ2214249646413856768,5室1厅2卫,4300元,2019-03-17,怡馨苑 5室1厅 4300元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/33层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",96㎡,朝南,FZ2215173107432833024,3室2厅2卫,5500元,2019-03-18,泰禾金尊府 3室2厅 5500元
"基本信息,发布：5天前,入住：2019-03-31, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/25层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",132㎡,朝南,FZ2215686926541783040,3室1厅1卫,11000元,2019-03-19,东二环泰禾广场二期 3室1厅 11000元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/34层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",75㎡,朝东南,FZ2215068533292285952,2室1厅1卫,3800元,2019-03-18,世欧王庄十区 2室1厅 3800元
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/21层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",132㎡,朝南 西,FZ2210667764820221952,3室1厅1卫,11500元,2019-03-12,东二环泰禾广场一期 3室1厅 11500元
"基本信息,发布：3天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/11层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",130㎡,朝东南 北,FZ2217121511754432512,3室2厅2卫,4700元,2019-03-21,阳光城二区 3室2厅 4700元
"基本信息,发布：5天前,入住：2019-04-01, ,租期：暂无数据,看房：暂无数据, ,楼层：低楼层/6层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",105㎡,朝南 北,FZ2215128730186293248,3室2厅2卫,4200元,2019-03-18,王庄荷园 3室2厅 4200元
"基本信息,发布：6天前,入住：随时入住, ,租期：暂无数据,看房：暂无数据, ,楼层：中楼层/41层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",90㎡,朝南,FZ2214480215273373696,3室2厅2卫,4500元,2019-03-17,世欧王庄一区 3室2厅 4500元
"基本信息,发布：5天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/36层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",115㎡,朝南,FZ2215048816070508544,3室2厅2卫,6000元,2019-03-18,保利香槟国际 3室2厅 6000元
"基本信息,发布：15天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/16层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",100㎡,朝西北,FZ2207820170985488384,3室2厅1卫,3800元,2019-03-08,集友名居 3室2厅 3800元
"基本信息,发布：1天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/47层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",130㎡,朝南,FZ2218559330927001600,3室2厅2卫,6000元,2019-03-23,世欧王庄A区 3室2厅 6000元
"基本信息,发布：4天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/9层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",20㎡,朝南,FZ2215782774727000064,1室0厅1卫,1700元,2019-03-19,华林花园 1室0厅 1700元
"基本信息,发布：11天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/31层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",45㎡,朝东,FZ2211285414134947840,1室1厅1卫,2900元,2019-03-13,世欧王庄三区 1室1厅 2900元
"基本信息,发布：16天前,入住：随时入住, ,租期：1年以内,看房：需提前预约, ,楼层：中楼层/26层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",88㎡,朝西南,FZ2207001782482108416,3室2厅1卫,看房随时,2019-03-07,整租 ·  福晟高层 三房 居家装修 看房随时
"基本信息,发布：9天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：低楼层/2层,电梯：暂无数据, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",400㎡,朝南,FZ2212251140249092096,5室2厅4卫,9500元,2019-03-14,金辉水印长天 5室2厅 9500元
"基本信息,发布：9天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：中楼层/33层,电梯：有, ,车位：暂无数据,用水：民水, ,用电：民电,燃气：有, ,采暖：暂无数据",89㎡,朝东南,FZ2212786933049344000,3室1厅2卫,1.该小区位于闽侯上街区，精装修价格低，距离城市较近,2019-03-15,1.该小区位于闽侯上街区，精装修价格低，距离城市较近
"基本信息,发布：9天前,入住：随时入住, ,租期：暂无数据,看房：需提前预约, ,楼层：高楼层/16层,电梯：有, ,车位：暂无数据,用水：暂无数据, ,用电：暂无数据,燃气：有, ,采暖：暂无数据",73㎡,朝南,FZ2212187589253791744,2室2厅1卫,福晟人文社区，入住率高，居家装，设备齐全，随时入住,2019-03-14,福晟人文社区，入住率高，居家装，设备齐全，随时入住
